==================================================
SHEET INDEX 1 : Danh mục
==================================================
Row   2:  |                 CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC |  |  |  |  |  |  | 
Row   3:  |                         ĐC: Số 24 - 25 liền kề 11, khu đô thị mới Văn Khê, P. La Khê, Q. Hà Đông, TP Hà Nội |  |  |  |  |  |  | 
Row   4:  |  Điện thoại : 024.38562011 -  Fax : 024.38562493 |  |  |  |  |  |  | 
Row   5:  | Hotline: Mr Đinh Trọng Tâm - TP kinh doanh: 0913 345 231  |  |  |  |  |  |  | 
Row   6:  |  Email: kd.stbmb@gmail.com     Website: stbmienbac.vn   |  |  |  |  |  |  | 
Row   9: DANH MỤC SÁCH THEO CHƯƠNG TRÌNH GDPT 2018
PHỤC VỤ NĂM HỌC 2023 - 2024 |  |  |  |  |  |  |  | 
Row  11: STT | TT | Mã SP | TÊN SÁCH | TÁC GIẢ | QUY CÁCH |  |   GIÁ BÌA 
Row 196:  | 5 | G2BH2G001 | Vở bài tập Đạo đức 2 | Trần Thanh Bình, Phạm Quỳnh (đồng Chủ biên), Trần Thị Thùy Dung, Nguyễn Hà My, Nguyễn Huyền Trang   |  | 17 x 24 | 9,000 | 
Row 197:  | 6 | G2BH2R001 | Vở bài tập Âm nhạc 2  | Hồ Ngọc Khải, Lê Anh Tuấn (đồng Tổng Chủ biên), Đặng Châu Anh (Chủ biên), Lương Diệu Ánh, Nguyễn Đăng Bửu, Trần Ngọc Hưng, Nguyễn Mai Kiên, Hà Thị Thư, Trịnh Mai Trang, Tô Ngọc Tú, Lâm Đức Vinh |  | 17 x 24 | 13,000 | 
Row 198:  | 7 | G2BH2X001 | Vở bài tập Tự nhiên và xã hội 2  | Đỗ Xuân Hội (Tổng Chủ biên), Nguyễn Thị Thu Hằng (Chủ biên), Lưu Phương Thanh Bình, Trần Thị Thu Hiền,  Lý Khánh Hoa,  Mai Thị Kim Phượng. |  | 17 x 24 | 13,000 | 
Row 199:  | 8 | G4BH2M001 | Vở bài tập Mĩ thuật 2  | Nguyễn Thị Nhung, Nguyễn Xuân Tiên (đồng Tổng Chủ biên) – Nguyễn Tuấn Cường, Hoàng Minh Phúc (đồng Chủ biên) – Lương Thanh Khiết – Phạm Văn Thuận – Đàm Thị Hải Uyên – Trần Thị Vân |  | 19 x 26.5 | 9,000 | 
Row 200:  | 9 | G4BH2Q001 | Vở bài tập Hoạt động trải nghiệm 2  | Phó Đức Hoà – Vũ Quang Tuyên (đồng Tổng Chủ biên) - Bùi Ngọc Diệp – Nguyễn Hữu Tâm (đồng Chủ biên) -Nguyễn Hà My – Đặng Thị Thanh Nhàn – Nguyễn Huyền Trang  |  | 17 x 24 | 11,000 | 
Row 201:  | 10 | G2BH2V003 | Tập viết 2, tập một  | Nguyễn Thị Ly Kha (Chủ biên), Trịnh Cam Ly, Phạm Thị Kim Oanh |  | 17 x 24 | 6,000 | 
Row 202:  | 11 | G2BH2V004 | Tập viết 2, tập hai  | Nguyễn Thị Ly Kha (Chủ biên), Trịnh Cam Ly, Phạm Thị Kim Oanh |  | 17 x 24 | 6,000 | 
Row 203:  | III | Sách giáo viên |  |  |  |  |  | 
Row 204:  | 1 | G2HG2T001 | Toán 2 - sách giáo viên  | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 19 x 26.5 | 62,000 | 
Row 205:  | 2 | G2HG2V001 | Tiếng Việt 2, tập một - sách giáo viên  | Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thị Thu Huyền,  Trịnh Cam Ly,  Phạm Thị Kim Oanh,  Bùi Thanh Truyền,  Nguyễn Thị Xuân Yến |  | 19 x 26.5 | 57,000 | 
Row 206:  | 3 | G2HG2V002 | Tiếng Việt 2, tập hai - sách giáo viên  | Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Trịnh Cam Ly, Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Bùi Thanh Truyền, Nguyễn Thị Xuân Yến |  | 19 x 26.5 | 48,000 | 
Row 207:  | 4 | G2HG2X001 | Tự nhiên và xã hội 2 - sách giáo viên  | Đỗ Xuân Hội (Tổng Chủ biên), Nguyễn Thị Thu Hằng (Chủ biên), Lưu Phương Thanh Bình, Trần Thị Thu Hiền, Lý Khánh Hoa, Mai Thị Kim Phượng |  | 19 x 26.5 | 28,000 | 
Row 208:  | 5 | G2HG2E001 | Giáo dục thể chất 2 - sách giáo viên  | Phạm Thị Lệ Hằng (Chủ biên), Bùi Ngọc Bích, Lê Hải, Nguyễn Đình Phát, Trần Minh Tuấn |  | 19 x 26.5 | 29,000 | 
Row 209:  | 6 | G2HG2G001 | Đạo đức 2 - sách giáo viên  | Trần Thanh Bình, Phạm Quỳnh (đồng Chủ biên), Trần Thị Thùy Dung, Nguyễn Hà My, Nguyễn Huyền Trang, Lê Phương Trí  |  | 19 x 26.5 | 20,000 | 
Row 210:  | 7 | G2HG2R001 | Âm nhạc 2 - sách giáo viên  | Hồ Ngọc Khải, Lê Anh Tuấn (đồng Tổng Chủ biên), Đặng Châu Anh (Chủ biên), Lương Diệu Ánh, Nguyễn Đăng Bửu, Trần Ngọc Hưng, Nguyễn Mai Kiên, Hà Thị Thư, Trịnh Mai Trang, Tô Ngọc Tú, Lâm Đức Vinh |  | 19 x 26.5 | 17,000 | 
Row 211:  | 8 | G4HG2M001 | Mĩ thuật 2, Sách giáo viên  | Nguyễn Thị Nhung, Nguyễn Xuân Tiên (đồng Tổng Chủ biên) – Nguyễn Tuấn Cường, Hoàng Minh Phúc (đồng Chủ biên) – Lương Thanh Khiết – Phạm Văn Thuận – Đàm Thị Hải Uyên – Trần Thị Vân |  | 19 x 26.5 | 22,000 | 
Row 212:  | 9 | G4HG2Q001 | Hoạt động trải nghiệm 2, sách giáo viên  | Phó Đức Hoà – Vũ Quang Tuyên (đồng Tổng Chủ biên) - Bùi Ngọc Diệp – Nguyễn Hữu Tâm – Đinh Thị Kim Thoa (đồng Chủ biên) - Vũ Phương Liên - Nguyễn Hà My – Đặng Thị Thanh Nhàn – Nguyễn Huyền Trang - Trần Thị Quỳnh Trang. |  | 19 x 26.5 | 40,000 | 
Row 213:  |  | LỚP 3 |  |  |  |  |  | 
Row 214:  |  | Bộ sách số 01 " Kết nối tri thức với cuộc sống" |  |  |  |  |  | 
Row 215:  | I | Sách giáo khoa |  |  |  |  |  | 
Row 216:  | 1 | G1HH3T001 | Toán 3 - Tập một - (KNTT) | Hà Huy Khoái (Tổng Chủ biên) – Lê Anh Vinh (Chủ biên) | 124 | 19 x 26,5 | 19,000 | 
Row 217:  | 2 | G1HH3T002 | Toán 3 - Tập hai  - (KNTT) | Hà Huy Khoái (Tổng Chủ biên) – Lê Anh Vinh (Chủ biên)  | 128 | 19 x 26,5 | 19,000 | 
Row 218:  | 3 | G1HH3V001 | Tiếng Việt 3 tập một - (KNTT) | Bùi Mạnh Hùng (Tổng Chủ biên) – Trần Thị Hiền Lương (Chủ biên) |  | 19 x 26,5 | 22,000 | 
Row 219:  | 4 | G1HH3V002 | Tiếng Việt 3 tập hai - (KNTT) | Bùi Mạnh Hùng (Tổng Chủ biên) – Trần Thị Hiền Lương (Chủ biên)  |  | 19 x 26,5 | 21,000 | 
Row 220:  | 5 | G1HH3C001 | Công nghệ 3 - (KNTT) | Lê Huy Hoàng (Tổng Chủ biên), Đặng Văn Nghĩa (Chủ biên) | 64 | 19 x 26,5 | 10,000 | 
Row 221:  | 6 | G1HH3I001 | Tin học 3 - (KNTT)
